comment,reviewer_country,reviewer_country_code,reviewer_industry,user_image_url,username
Again great work!,Netherlands,NL,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/0d2acb077bbdaefad78ee51afaf6dee8-1573669966365/9a252124-9cb5-433c-9b4c-a2a8adf6cf30.jpg",cecilehuijkman
"Again, great work! I'm so happy with the result and this saves me a lot of time! Also I got a demonstration of the tool and help with the setup. Thank you!",Netherlands,NL,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/0d2acb077bbdaefad78ee51afaf6dee8-1573669966365/9a252124-9cb5-433c-9b4c-a2a8adf6cf30.jpg",cecilehuijkman
Very fast and accurate delivery AGAIN! Thank you so much Talha.,Netherlands,NL,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/0d2acb077bbdaefad78ee51afaf6dee8-1573669966365/9a252124-9cb5-433c-9b4c-a2a8adf6cf30.jpg",cecilehuijkman
Very to the point code worked well. Slight adjustment but was done in seconds. First time doing this type of service but he did a great job. I’ll be back ,Canada,CA,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/106497afc414bf44cb73b01ccd147a5b-1747002031714419659.7833319/B4CC4273-6F2E-4533-951B-DF40E8D96EC2",jeffcalibre
"Great hard working guy, will definitely come back!",Italy,IT,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/11dc5064f8781c252ab4b2c0db76d60d-1764667553924/e6667794-7948-4317-b714-306f780fcbf3.png",anton_07
Great experience ,Slovenia,SI,art_and_design,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/144fcbe533713b129135871afc03b399-1621883344247/f10f6fa6-882f-4ba3-9f25-ab8f245a2f1f.jpeg",power_python
this guy is fast as light,Slovenia,SI,art_and_design,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/144fcbe533713b129135871afc03b399-1621883344247/f10f6fa6-882f-4ba3-9f25-ab8f245a2f1f.jpeg",power_python
Always does flawless work. Highly recommend a great resource!,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/15b96b725ca867c6f653ecf7f1f51d0f-1714662603983/29376205-b207-4aec-b9eb-417ee91221a1.png",acuity_capital
"Does a great job, have used a number of times. Highly recommend. ",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/15b96b725ca867c6f653ecf7f1f51d0f-1714662603983/29376205-b207-4aec-b9eb-417ee91221a1.png",acuity_capital
Always does a wonderful job the first time! Highly recommend. Frequently find myself having to go back and forth with providers but not him. Does great work. ,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/15b96b725ca867c6f653ecf7f1f51d0f-1714662603983/29376205-b207-4aec-b9eb-417ee91221a1.png",acuity_capital
Did a great job from the beginning with little to no guidance. Highly recommend! ,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/15b96b725ca867c6f653ecf7f1f51d0f-1714662603983/29376205-b207-4aec-b9eb-417ee91221a1.png",acuity_capital
Incredible Seller! Always delivers quickly and exactly as needed.,United States,US,financial_services_or_banking,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/16204c65dea5fc9c00c47ed1c2b37a23-1660775415920/9fb51151-e5ea-4443-93db-ef46ff084df0.jpg",cameronmcgraw
Amazing experience and wonderful to work with! Very impressed with delivery time and quality of service.,United States,US,financial_services_or_banking,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/16204c65dea5fc9c00c47ed1c2b37a23-1660775415920/9fb51151-e5ea-4443-93db-ef46ff084df0.jpg",cameronmcgraw
"The scraper was delivered 2 days late. When asked how to use the scraper the seller started calling me ""bro'' and describing poorly how to use it. The extras I paid for do not work. It was not a good experience. Not sure if these other reviews are even real.",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/1658fed4006dad3e18b5373c71fc096b-1761951224079/668a8ca8-d600-4dd6-892d-ce909da589a3.png",moneymakingdiam
It as a good experience.,Germany,DE,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/17afda653e1d92c7b6fa000dcf223b0e-1625170859150/c05b1b52-dbc3-4f47-baa1-4a2ae42b14f9.jpg",ivemevqtowmckai
Fantastic job... highly recommended... the best!,United States,US,agriculture,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/183d2eab20eeaf1f05679f81cfc36074-1620887550295/e04c3aca-204d-40dd-af75-256439a38032.png",m1kllc
"Working with Talha is a charm! Delivery before EDT, high quality code and great integration support. 

We have talk several time in the process and Talha deliver exactly what was ask.

Highly recommend.",Canada,CA,manufacturing_and_storage,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/190cd85806d566219a21e7a390cc6e20-1679574481434/f85de6cc-ee9b-4a7a-ad34-38eaf610e3d1.jpg",antoinerouth569
"Good job, in time",Israel,IL,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/1acc6c384238e96b979ed5239194987f-200611881605408903.4526591/726A7DC1-0272-4024-B6B7-0413A8457601",eranlipi
Great work thank you will be using he again very professional,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/1afd5ee9c4d84af5a99ccebbcf5492ce-1619288990051/3aa020db-a5c1-41b2-98b2-5b6c6036afd2.jpg",yfatusi
"excellent work, he went above and beyond to get things, data started growing unexpectedly, he cooperated and nicely agreed to keep the same price.

grateful.",Pakistan,PK,"marketing_or_advertising, retail_and_wholesale","https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/1b1f3df24b2fa76458f2c2d54f4195b8-1741729257786/a27d0d17-4f15-4332-a6a3-ddbfa5fb0486.png",outsourceage
As always well done! Thank you!,Austria,AT,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/22775a1953a78e030b90931b959259da-1543187031942/7441f143-5227-4677-af03-3620c070caef.jpeg",semafat
I would recommend him to everybody! More jobs will be done sure!,Austria,AT,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/22775a1953a78e030b90931b959259da-1543187031942/7441f143-5227-4677-af03-3620c070caef.jpeg",semafat
Talha accepted a gig that 6 other sellers turned down and completed it faster than I expected. He's a great communicator. Fast and expeditious like a ninja in black. Accurate and very easy to work with. He made sure I understood everything and even offered to do a zoom meeting if I needed help. Highly suggested.,United States,US,"technology, services","https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/289247d6dff570620d369873dcb60a78-1736137850333/11392251-ae42-45a9-88f4-d582212f5ee2.png",jocotra
"Received horrible quality. File is missing bunch of pages and also 350 duplicates. I would not recommend this freelancer to anyone.

He is open to feedback but every time the work is horrible. So the only way to verify if its correct is to do the crawl myself. I did that and saw a bunch of crawling mistakes.",Netherlands,NL,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2a5698029a24daab3b024f8588779955-1736845899716/49ff814d-c8b4-4203-b76c-c8f748a51ade.png",abadvany
Second time using him and I'm very satisfied with his work.,Australia,AU,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2b05b823fd74ea7f8eb1888c833a4561-1690626747718/9fe2ed86-0245-46e0-ae50-770abe6c4939.png",hivecreation
"this guy's amazing. if you're looking for someone reliable and quick to scrape data for you, he's the man. couldn't be happier with this work.",Australia,AU,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2b05b823fd74ea7f8eb1888c833a4561-1690626747718/9fe2ed86-0245-46e0-ae50-770abe6c4939.png",hivecreation
"I've hired a number of contractors to to data scraping and Talha is by far the best I've worked with. He is detailed oriented, delivers on time, and goes the extra distance cleaning the data best he can. No doubt, I will hire him again. ",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2c36fa7f4183175e03d33b8893036d63-1632519958913/808785c6-167a-43e5-9624-2590273517cd.png",arbvark
"Did a great job with my web scraping project. He was very fast, and completed the job 1st time without any need for changes. His communication about the project was great. I will hire him again if I need any data mining or python scraping.",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2c36fa7f4183175e03d33b8893036d63-1632519958913/808785c6-167a-43e5-9624-2590273517cd.png",arbvark
"Professional, detail-oriented, quick to respond, and always polite. The Excel file was well-organized, error-free, and ready to use. Highly recommend!",Canada,CA,financial_services_or_banking,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2c3b1d2f87faa9e22a30bffe1cadd0a6-1661623314614/6ef0679d-60f3-4ac1-83c1-7ff40db1b7de.jpg",harfangcapital
Seller went above and beyond to make sure my needs were met. Will definitely use him again!!!,United States,US,real_estate,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2d8440bff17f00516083fd11d3a991da-1646773983096/3c8d2878-c774-4ec2-856e-0e5a0b86a066.png",remaxteam
fast as always - thank you,Austria,AT,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2f13ce65a226999f9f6affcbe046c077-1658411354737/3c9947d9-f1ec-402b-b4f0-e0fb6c5adfe4.png",armin_ag
thank you !,Austria,AT,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2f13ce65a226999f9f6affcbe046c077-1658411354737/3c9947d9-f1ec-402b-b4f0-e0fb6c5adfe4.png",armin_ag
fast and efficient!,Austria,AT,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/2f13ce65a226999f9f6affcbe046c077-1658411354737/3c9947d9-f1ec-402b-b4f0-e0fb6c5adfe4.png",armin_ag
Proactive and quick to respond. Great work done!,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/31f379cfba50300f9b8a467d1a33c4ed-780341001660905762.364923/0B848EEF-BDFB-45BF-9131-9BAF1D05072B",twhite19
One of the best experiences I had on Fiverr!,Belgium,BE,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/377d1f5d3719bfa70adcf58adfa9fb97-1620027720124/92581117-edf8-47c7-a642-b76907b8b7fa.jpg",mjotra
"He was a great person to work with. Timely, he listened, and he delivered exactly what I asked.",United States,US,medical_or_pharmaceutical,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3a49584d696fa041f6b57cf9eda834db-1644523230826/e499292a-bbb6-4463-9c41-f6dfd1481fb3.jpg",josephbronner
"Took a little bit longer than expected, but the quality and value are top-notch!",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3a5224cc8886e85bab7bd466d431eaf9-1720442781797/536404c7-113c-47da-a72b-af5361bb24bc.jpg",mateos_machine
Great seller. Will use on all of my scraping / VA needs.,Denmark,DK,art_and_design,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b0865924e0ac9ce85f0ae52f4b960ea-1509517553034/fac1d87e-ebd1-4a79-9201-50b282c6f370.jpg",aheltzen
Awesome job! Got what I needed from Google Maps - a list of U.S. companies in a specific niche with contact details ✌️,Denmark,DK,art_and_design,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b0865924e0ac9ce85f0ae52f4b960ea-1509517553034/fac1d87e-ebd1-4a79-9201-50b282c6f370.jpg",aheltzen
Excellent work and communication!,United States,US,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b239503a7e16018226103dc3bbc8101-1620708443668/8022dfae-d10c-4966-abdc-c20be8acc9af.jpg",gbostrom
Excellent work! Very timely. A+++++,United States,US,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b239503a7e16018226103dc3bbc8101-1620708443668/8022dfae-d10c-4966-abdc-c20be8acc9af.jpg",gbostrom
Great Work! A++++++++,United States,US,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b239503a7e16018226103dc3bbc8101-1620708443668/8022dfae-d10c-4966-abdc-c20be8acc9af.jpg",gbostrom
Great work!,United States,US,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b239503a7e16018226103dc3bbc8101-1620708443668/8022dfae-d10c-4966-abdc-c20be8acc9af.jpg",gbostrom
Excellent Work!,United States,US,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b239503a7e16018226103dc3bbc8101-1620708443668/8022dfae-d10c-4966-abdc-c20be8acc9af.jpg",gbostrom
Excellent Communication. Great work. Will definitely use again. A+++++,United States,US,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b239503a7e16018226103dc3bbc8101-1620708443668/8022dfae-d10c-4966-abdc-c20be8acc9af.jpg",gbostrom
Great work! Great Communication! A++++,United States,US,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3b239503a7e16018226103dc3bbc8101-1620708443668/8022dfae-d10c-4966-abdc-c20be8acc9af.jpg",gbostrom
Great experience with Talha. I highly recommend!,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3c04b0abdce96f9a0b47ffc5432e7bda-1587863351694956717.442635/EB586624-DF59-4777-8861-F3F9686AF544",taylor_206
Great work and communication ,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3db254a3f75ea5afa39715b3b56979ae-1659628730130/c8589bab-1fef-4e1a-94fb-023bc35d132a.jpeg",xtracy123
Great job!,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3e1c8ac95636cd4cd169524af1e03f72-1725330125177/9d555015-e167-416b-b4f0-193b3a7977fa.jpg",cesarbe84
Very fast service and excellent communication. Will probably hire again.,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/3e1c8ac95636cd4cd169524af1e03f72-1725330125177/9d555015-e167-416b-b4f0-193b3a7977fa.jpg",cesarbe84
Good work. Fast.,Canada,CA,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/40b4738be14b3ad24023801ba8eb091a-5076671623914164.8216329/DF41F5D5-50F4-4A5A-B925-5EE7CFD0236A",bslade
Efficient and good communication and willing to make edits if required,Canada,CA,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/40b4738be14b3ad24023801ba8eb091a-5076671623914164.8216329/DF41F5D5-50F4-4A5A-B925-5EE7CFD0236A",bslade
"I had a great experience working with Talha. He's professional, delivered everything on time and the solutions worked.",United States,US,marketing_or_advertising,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/40e758c27a8596024a2d096118c01fa5-44657281630953702.546004/289CD515-A3D6-4950-BFE3-58CAD7BB66C9",gardian3
"It was a pleasure to work with Talha, who set up a helpful Zoom call to ensure he understood the job at-hand. Talha was proactive in his communication, always keeping me informed of the timelines, and whether the project was running smoothly. I am pleased with the final product, which was delivered just as promised. The only reason why this was not a five-star review was due to the price, which I believe is slightly higher than average. However, for peace-of-mind, if you have the budget, I highly recommend utilizing Talha's services.",Canada,CA,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/41649551f98a5c38721e2d3d81481fb5-967047751604022175.5493379/62D3C5F9-B070-44C1-94C4-FBC6CDB6D225",gregdixon1982
"Telha delivered a pretty good product. He took the necessary time to understand the scope and find out what we needed.
Even though we struggled a bit with the delivery time in the end, I have to give him a big thank you.
I look forward to a next issue and further collaboration.",Germany,DE,"financial_services_or_banking, marketing_or_advertising","https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/4202bebf0862f13c7bf294827e5cb2e5-1613401953919/9e97593f-ea4c-4aa0-9729-39569678736d.png",plan7web
Talha is a great guy with lots of DS python skills. He was able to deliver our job within the required agreed time.  Understands the task and got back with the complete work without any back & forth (within 24 hours). He delivered on the first instance and very good at explaining what he did. He is also a very patient person. I won't hesitate to work with him in the future or recommend him.,Canada,CA,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/42cd5c71b2ba581942316cd699fbf399-928676881713879851631/JPEG_20240423_104411_6402593519441045243.jpg",babs_bishi
"i had a good experience despite a small glitch on my end, talha was happy to take some time to screenshare and troubleshoot my issue. problem solved in just a few minutes.",Canada,CA,marketing_or_advertising,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/4619ad142981ad9753d137d1ed5f0bd2-1648490875785/4e77a7f0-f3a7-4245-baeb-992796335b43.png",drelabre
"Talha Pythoneer delivered satisfactory results in data scraping, the collaboration was generally smooth, enhancing effort, proactiveness, and cooperation would considerably elevate the working experience.",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/4b9882c319e6fc2a83ca75af43adbcbb-1613449346938/f8812770-c113-4751-b587-918ab983b39e.PNG",pellucere
Fast & responsive,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/59af4be20ac92600b96c03b79c6c441c-1660873708193/3605e66f-ec7d-45e6-8d87-c95fc4b41e60.jpg",siandinero
"Good work, thank you",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/5bfbaf85e52b092953d213bee4b0f167-616094201619448910.9338431/DF749376-4EBD-41F8-8EAE-CE0A84A8FC38",rhyanschwartz
He did great work and it only took him less than a day,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/5cc65a2c074703a6eccaf61aa0e14c70-1668625904670/74a22478-b63d-47e4-b878-87e881f757e9.jpg",bamahouses
"Perfect provider, for any data made me 2 different solutions to do the task, and executed it amazingly!",Hungary,HU,technology,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/5d4d40984f03c8b6e9adf49ecfa2dec6-1662463505058/22189cfb-9e77-431a-8d9d-902b11663356.jpg",szabgbor686
excellent and so fast !!!,United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/60557a477e23423fb791e3da90275d4c-1677369526746/428d7b8a-ddd2-46db-a83e-431f1d3039a8.png",baxterklein
Would recomend it to everyone! Great work and great support!! ,Germany,DE,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/617f56ca1e6fc0a5270c166e70fdf272-1181046441676656722.5103788/18C637CB-7FAE-4E32-9088-ACC57E7A4F45",marcespinosa105
It was a complex task and we needed to define some requirements before starting. There was good communication throughout.  Ultimately not the full result I was expecting but the effort undertaken was appreciated and its a very decent outcome.,Germany,DE,financial_services_or_banking,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/626ee60833351f7d7f9212ba5a9a52c6-1641591598745/25842665-44e2-4bcc-b8b2-57e7c75f96fa.png",ademolaomosa660
"This is my second time working with talhapythoneer. He is very responsible and will patiently confirm the details with you

Also completed within the agreed time

Trust me, you can entrust him with the projects you need.",Taiwan,TW,retail_and_wholesale,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/6323eb1718e80cf80302b55c98ec50c0-1597726626061/79adedff-989e-4d7d-b8cb-bb58d9ecdafb.jpg",rickhuang
"talhapythoneer is smart and professional, he is more than you think
Ask him to upgrade the program when he puts forward the demand, and also make a reasonable quotation
Very comfortable working with him
Trust me",Taiwan,TW,retail_and_wholesale,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/6323eb1718e80cf80302b55c98ec50c0-1597726626061/79adedff-989e-4d7d-b8cb-bb58d9ecdafb.jpg",rickhuang
"Yesterday, the commission was successfully completed, and today there is a demand for upgrades, and talhapythoneer still quickly completed the task.

Recommend him, there is nothing more to say",Taiwan,TW,retail_and_wholesale,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/6323eb1718e80cf80302b55c98ec50c0-1597726626061/79adedff-989e-4d7d-b8cb-bb58d9ecdafb.jpg",rickhuang
"talhapythoneer is a professional engineer
The program it makes is simple and stable
And expect more demand
I will look for him again next time
You can also trust him
I recommend",Taiwan,TW,retail_and_wholesale,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/6323eb1718e80cf80302b55c98ec50c0-1597726626061/79adedff-989e-4d7d-b8cb-bb58d9ecdafb.jpg",rickhuang
"Absolutely top tier expert in this field.  They were able to give me everything I wanted, in a good time period, and for a very fair price.  I would definitely use again in the future if the need arises. Thank you.",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/63ba5355859da0a72def42c301bc4059-1015127751647568626.4194322/8A37056C-5970-4D9D-B8B8-8394612EB25E",lilithvalaxara
"The seller was great at completing the task at hand. Just had to communicate with the seller multiple times to get status updates and the task was received 4 days late. While it was a difficult task, the seller should have been more proactive about letting us know the status of the job.",United States,US,"retail_and_wholesale, technology","https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/644cf1d96593499d79d0aa6d53328bc2-1687890006492/c9aad9b6-0107-4111-8588-5f1e492a17f7.jpg",smobicompany
"Professional as always, thank you!",Mexico,MX,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/69fdd1f03b232d044b04c1802a237429-1690630998244/b0b87ce5-656f-4a7d-b834-093998efd431.jpg",superyui
"thank you, all good.",Mexico,MX,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/69fdd1f03b232d044b04c1802a237429-1690630998244/b0b87ce5-656f-4a7d-b834-093998efd431.jpg",superyui
"Great experience, would recommend ",United States,US,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/6c7c881c05aa1df291e95150ad07cc19-1676485173625/0622bf73-f1d9-4ebf-b2c9-a457a9e76754.JPG",rayan75
Very helpful. Thank you,Bangladesh,BD,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/6da3b7d6b7655764c8656e2338b995b2-1740333603399/ce3d6c08-c347-4107-89e9-84f5ad095672.jfif",titukhan13
Great seller. Thanks,Bangladesh,BD,,"https://fiverr-res.cloudinary.com/image/upload/f_auto,q_auto,t_profile_small/v1/attachments/profile/photo/6da3b7d6b7655764c8656e2338b995b2-1740333603399/ce3d6c08-c347-4107-89e9-84f5ad095672.jfif",titukhan13
